Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
Projprzem Makrum SA,23,-1.71,23.4,22.6,23.4,326,7468,2018-12-07
Protektor SA,4.7,5.15,4.49,4.21,4.7,31460,143592,2018-12-07
Próchnik SA w upadłości,0.01,0,0.01,0.01,0.01,122068,1221,2018-12-07
Puławy SA,70,-2.51,71.6,70,72,1058,75357,2018-12-07
PZ Cormay SA,1.02,-2.86,1.03,1,1.05,140645,143732,2018-12-07
PZU SA,42.86,-0.79,43.26,42.74,44.12,2430469,105857402,2018-12-07
Quantum Software SA,14,0,0,0,0,0,0,2018-12-06
Quercus TFI SA,2.35,-2.08,2.35,2.35,2.35,2660,6251,2018-12-07
Qumak SA,0.28,27.27,0.21,0.21,0.28,498566,127058,2018-12-07
R22 SA,16.22,1,16.04,16.04,16.22,18,289,2018-12-07
Radpol SA,1.16,-3.33,1.18,1.13,1.18,50074,57756,2018-12-07
Rafako SA,1.97,4.79,1.88,1.88,1.98,138652,270572,2018-12-07
Rafamet SA,9.5,-5,10.4,9.5,10.4,19,185,2018-12-07
Rainbow Tours SA,22,1.38,22.5,22,22.5,5379,118762,2018-12-07
Rank Progress SA,1.67,3.73,1.65,1.65,1.67,8390,13882,2018-12-07
Rawlplug SA,9.2,1.77,9.2,9.2,9.2,1,9,2018-12-07
Redan SA,0.58,0,0.58,0.57,0.58,739,426,2018-12-07
Redwood Holding SA w restrukturyzacji,0.07,16.67,0.07,0.07,0.07,7,0,2018-12-07
Reinhold Europe AB,0.17,0,0.17,0.17,0.17,770,131,2018-12-07
Relpol SA,7.6,-0.52,7.46,7.46,7.6,239,1787,2018-12-07
Remak SA,9.26,-0.86,9.26,8.9,9.26,1045,9317,2018-12-07
Ronson Development SE,0.88,-6.38,0.94,0.87,0.94,53818,47713,2018-12-07
Rubicon Partners SA,0.77,-3.75,0.82,0.75,0.82,372,282,2018-12-07
Sadovaya Group SA,0.12,0,0,0,0,0,0,2018-12-06
Sanok Rubber Company SA,29.2,0.69,29,29,29.2,479,13901,2018-12-07
SANPL2,350,-0.57,350,350,350,60,21000,2018-12-07
Santander Bank Polska SA,347,-1.7,357.8,346.8,358,51747,18301349,2018-12-07
Sanwil SA,0.58,-6.45,0.58,0.58,0.58,1129,655,2018-12-07
Sare SA,5.45,4.81,5,5,5.45,510,2555,2018-12-07
Satis Group SA,1.32,0,0,0,0,0,0,2018-12-06
Sco-Pak SA w restrukturyzacji,0.06,0,0,0,0,0,0,2018-12-06
Seco/Warwick SA,15.8,0,0,0,0,0,0,2018-12-06
Seko SA,8.7,0.58,8.55,8.5,8.7,6536,55677,2018-12-07
Selena FM SA,9.5,-2.06,9.5,9.5,9.5,500,4750,2018-12-07
Selvita SA,49.3,3.79,48.9,47,49.3,2181,106119,2018-12-07
Serinus Energy Inc.,0.72,4.35,0.69,0.69,0.73,61921,44254,2018-12-07
Sescom SA,28.2,0,28.2,28.2,28.2,1,28,2018-12-07
Setanta ASI SA,1.39,0,1.39,1.39,1.39,197,274,2018-12-07
Sfinks SA,0.95,6.74,0.85,0.85,0.95,29488,26994,2018-12-07
Silvano Group AS,10.2,0,10.1,10.1,10.2,61,617,2018-12-07
Simple SA,7,0,7,6.4,7,1872,12020,2018-12-07
Skarbiec Holding SA,23,-2.13,23.5,23,23.5,2550,58839,2018-12-07
Skotan SA,0.35,0,0.35,0.35,0.35,64083,22429,2018-12-07
Skyline Investment SA,0.69,7.81,0.64,0.64,0.69,3276,2188,2018-12-07
Sleepz AG,4.14,-5.48,4.38,4.08,4.38,1439,5949,2018-12-07
Soho Development SA,1.02,0,1.05,1.02,1.05,20174,20810,2018-12-07
Solar Company SA,0.51,-5.56,0.53,0.5,0.53,10020,5143,2018-12-07
Sonel SA,6.38,0,6.36,6.36,6.38,50,319,2018-12-07
Sopharma AD,8,0,0,0,0,0,0,2018-12-06
Stalexport Autostrady SA,3.3,-0.3,3.3,3.26,3.3,37581,123664,2018-12-07
Stalprodukt SA,313,-2.19,322.5,308,322.5,3031,951022,2018-12-07
Stalprofil SA,10.4,0,0,0,0,0,0,2018-12-06
Starhedge SA,0.54,0,0,0,0,0,0,2018-12-06
Stelmet SA,7.58,1.34,7.7,7.48,7.8,5864,44619,2018-12-07
Sunex SA,3.34,7.05,3.11,3.11,3.34,3004,9646,2018-12-07
Suwary SA,14,0,14,13.2,14,12,160,2018-12-07
Swissmed CZ SA,1.03,0,1.03,1.03,1.03,138,142,2018-12-07
Sygnity SA,2.9,5.45,2.75,2.75,2.9,1449,4059,2018-12-07
Synektik SA,9.5,-2.06,9.68,9.2,9.68,6158,58275,2018-12-07
T-Bull SA,32,3.23,32.4,31.2,32.6,4899,156066,2018-12-07
Talanx AG,130,0,0,0,0,0,0,2018-12-06
Talex SA,11.7,-4.1,11.7,11.7,11.7,121,1416,2018-12-07
Tarczyński SA,17.7,0,17,17,17.7,510,8887,2018-12-07
Tatry Mountain Resorts AS,122,0,0,0,0,0,0,2018-12-06
Tauron Polska Energia SA,2.33,0.43,2.32,2.3,2.36,3396487,7930843,2018-12-07
Ten Square Games SA,79.99,2.55,78.97,78.97,82.3,10173,819003,2018-12-07
Termo-Rex SA,0.58,0,0.58,0.58,0.58,43,25,2018-12-07
Tesgas SA,2.94,-6.67,3.17,2.94,3.17,3723,11006,2018-12-07
TIM SA,7.38,0.27,7.36,7.3,7.38,18850,138397,2018-12-07
Torpol SA,4.5,1.12,4.45,4.42,4.58,41334,185646,2018-12-07
Tower Investments SA,25,-0.4,25,25,25,10,250,2018-12-07
Toya SA,7.7,-3.02,8,7.7,8,3,23,2018-12-07
Trakcja PRKiI SA,3.6,3.75,3.55,3.53,3.67,269934,975158,2018-12-07
Trans Polonia SA,2.79,0,2.79,2.72,2.79,506,1390,2018-12-07
Triton Development SA,2.31,5.96,2.25,2.25,2.31,7512,17140,2018-12-07
TXM SA,0.29,3.57,0.29,0.29,0.3,19274,5613,2018-12-07
Ulma SA,72,0,72,72,72,1,72,2018-12-07
Unibep SA,4.73,-0.42,4.77,4.73,4.77,34569,163760,2018-12-07
UniCredit SpA,47.4,-0.38,47.4,47.4,47.4,190,9006,2018-12-07
Unima 2000 SA,2.14,3.38,2.07,2.07,2.14,270,561,2018-12-07
Unimot SA,8.6,0,0,0,0,0,0,2018-12-06
Ursus SA,1.45,15.08,1.3,1.29,1.54,4254959,6200339,2018-12-07
Venture Inc SA,1.67,0,1.67,1.67,1.67,4400,7348,2018-12-07
Vigo System SA,269,0.37,269,269,269,8,2152,2018-12-07
Vistal Gdynia SA w restrukturyzacji,0.84,0,0.84,0.81,0.86,42826,35549,2018-12-07
Vivid Games SA,1.47,-3.29,1.52,1.42,1.61,181618,271437,2018-12-07
Votum SA,4.8,0.42,4.5,4.5,4.8,85,407,2018-12-07
Voxel SA,24.7,-0.4,24.4,24.4,24.8,114,2795,2018-12-07
VRG SA,3.83,-0.26,3.84,3.79,3.84,73552,281307,2018-12-07
Wadex SA,4.76,1.49,4.68,4.68,4.76,229,1075,2018-12-07
Warimpex AG,4.74,6.04,4.56,4.56,4.74,1700,7770,2018-12-07
Wasko SA,1.32,5.6,1.25,1.25,1.32,53356,68187,2018-12-07
Wawel SA,860,0.23,858,852,860,35,30038,2018-12-07
Wielton SA,9.7,-0.61,9.91,9.7,9.98,10734,105997,2018-12-07
Wikana SA,0.78,0,0.73,0.73,0.78,1972,1477,2018-12-07
Wirtualna Polska Holding SA,50.6,-2.69,52,50.6,52,7445,384802,2018-12-07
Wittchen SA,15,0.67,15.25,14.5,15.25,16015,240357,2018-12-07
Wojas SA,3.9,4,3.75,3.65,3.9,2216,8151,2018-12-07
Work Service SA,1.06,0.95,1.13,1.06,1.18,893675,997430,2018-12-07
XTB DM SA,4.91,-1.21,4.98,4.81,4.98,3920,19018,2018-12-07
Yolo SA,2.35,3.52,2.35,2.15,2.35,144,333,2018-12-07
Zamet SA,0.7,2.94,0.65,0.65,0.7,60,40,2018-12-07
Zastal SA,0.44,2.33,0.43,0.39,0.44,7520,3131,2018-12-07
ZE PAK SA,7.4,2.35,7.29,7.23,7.46,1159616,8582624,2018-12-07
ZM Henryk Kania SA,1.04,0,1.04,1.02,1.05,88118,91262,2018-12-07
ZM Ropczyce SA,33.9,3.67,31.9,31.9,34,1836,60874,2018-12-07
ZPC Otmuchów SA,1.78,-0.56,1.79,1.7,1.79,229,401,2018-12-07
ZPUE SA,88,-0.56,91,88,91,138,12147,2018-12-07
ZUE SA,4.52,-3.62,4.84,4.51,4.84,110,497,2018-12-07
ZUK Stąporków SA,1.43,10,1.43,1.43,1.43,9197,13152,2018-12-07
Śnieżka SA,73.5,0,73.5,72.5,73.5,41,2989,2018-12-07
