Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
Cognor Holding SA,1.79,0.56,1.78,1.75,1.8,135486,243425,2018-12-07
ComArch SA,160.5,0.31,160,159.5,160.5,1431,228891,2018-12-07
Comp SA,64,-0.78,63,63,64,166,10558,2018-12-07
COMPERIA-PDA,7.5,0,0,0,0,0,0,2018-12-06
Comperia.pl SA,7.5,0,0,0,0,0,0,2018-12-06
CPD SA,7,0,0,0,0,0,0,2018-12-06
CUBE.ITG SA w restrukturyzacji,0.06,50,0.05,0.05,0.06,1591,86,2018-12-07
Cyfrowy Polsat SA,22.2,-1.16,22.52,22,22.52,385866,8557752,2018-12-07
Czerwona Torebka SA,0.23,4.55,0.23,0.23,0.23,500,115,2018-12-07
Decora SA,15.15,-1.3,15.3,15.15,15.35,763,11686,2018-12-07
Dekpol SA,32.8,0,32.8,32,32.8,755,24560,2018-12-07
Delko SA,8.56,0.94,8.5,8.46,8.56,2193,18566,2018-12-07
DGA SA,8.66,2.36,8.96,8.3,8.96,476,4055,2018-12-07
Dino Polska SA,98.6,-0.6,98.5,96.65,101.1,312797,30940209,2018-12-07
Dom Development SA,65.6,0,66,65.6,67,10880,717996,2018-12-07
Drewex SA,0.3,0,0.3,0.3,0.3,496,149,2018-12-07
Drop SA,0.46,0,0.46,0.46,0.46,390,179,2018-12-07
Drozapol-Profil SA,1.45,3.57,1.45,1.45,1.45,10,15,2018-12-07
Dębica SA,95.6,-0.21,98,95.6,99.2,57,5491,2018-12-07
EC Będzin SA,21.7,-7.66,23.5,21.7,23.5,6,132,2018-12-07
Echo Investment SA,3.95,1.28,3.93,3.9,3.95,183132,720416,2018-12-07
ED Invest SA,1.91,0,1.91,1.91,1.91,2,4,2018-12-07
Efekt SA,21.8,1.4,22,21.5,22,8,173,2018-12-07
Eko Export SA,3.06,1.66,3,3,3.1,31183,95643,2018-12-07
Elektrobudowa SA,31.5,-0.94,31.5,31.5,32.5,355,11330,2018-12-07
Elektrotim SA,3.9,1.56,3.94,3.84,3.94,3930,15287,2018-12-07
Elemental Holding SA,1.2,-0.83,1.2,1.19,1.23,189567,229251,2018-12-07
Elkop SA,0.01,0,0.01,0.01,0.01,47967,480,2018-12-07
Elzab SA,5.8,0,0,0,0,0,0,2018-12-06
EMC Instytut Medyczny SA,6.7,-6.29,7.15,6.7,7.15,2,14,2018-12-07
Enea SA,10.9,-0.18,11.07,10.86,11.1,719089,7839542,2018-12-07
Enefi Plc.,1.5,0,0,0,0,0,0,2018-12-06
Enel-Med SA,9.6,0,0,0,0,0,0,2018-12-06
Energa SA,9.75,0.93,9.7,9.46,9.83,1059057,10265827,2018-12-07
Energoaparatura SA,1.04,-0.95,1.05,1.04,1.05,3042,3174,2018-12-07
Energoinstal SA,0.74,-6.33,0.78,0.74,0.78,1133,839,2018-12-07
Enter Air SA,19.5,0,19.5,19.4,19.5,8999,175461,2018-12-07
Erbud SA,10.4,5.05,9.9,9.54,10.45,2409,24055,2018-12-07
ERG SA,35.2,-16.19,36.5,34.2,36.5,1606,57012,2018-12-07
Ergis SA,2.8,0,2.8,2.76,2.8,7585,21198,2018-12-07
ES-System SA,2.36,0.85,2.36,2.36,2.36,1,2,2018-12-07
Esotiq&Henderson SA,17.2,2.38,16.95,16.8,17.4,278,4733,2018-12-07
EuCO SA,6.84,0.29,6.82,6.82,6.84,732,5007,2018-12-07
Eurocash SA,17.3,-2.09,17.91,17.16,18.15,542862,9488045,2018-12-07
Eurohold Bulgaria AD,3.68,0,0,0,0,0,0,2018-12-06
Eurotel SA,18.8,-0.53,18.9,18.5,18.9,255,4758,2018-12-07
Everest Investments SA,0.6,0,0.6,0.6,0.6,9980,5988,2018-12-07
Famur SA,5.7,-1.38,5.78,5.7,5.8,49945,288108,2018-12-07
Fasing SA,16.25,1.56,15.9,15.9,16.25,995,15971,2018-12-07
Fast Finance SA,0.09,0,0,0,0,0,0,2018-12-06
Feerum SA,8.4,-10.45,9.58,8.4,9.58,3447,29127,2018-12-07
Fenghua SoleTech AG,17.5,0,0,0,0,0,0,2018-12-06
Ferro SA,12.6,-1.95,13,12.5,13.2,154,1944,2018-12-07
Ferrum SA,4.16,-0.24,4.17,4,4.17,4266,17240,2018-12-07
Financial Assets Management Group SA,29,0,0,0,0,0,0,2018-12-06
Forte SA,25,3.95,24.25,24.25,26.15,67506,1702540,2018-12-07
GetBack SA w restrukturyzacji,3.75,0,0,0,0,0,0,2018-12-06
Getin Holding SA,0.15,7.14,0.14,0.14,0.15,1046191,149162,2018-12-07
Getin Noble Bank SA,0.32,3.23,0.31,0.31,0.33,4601557,1475132,2018-12-07
Gino Rossi SA,0.43,4.88,0.41,0.4,0.45,1639176,718762,2018-12-07
GK Immobile SA,3.15,5,3.13,3,3.18,26358,80941,2018-12-07
